2010-01-19H03M14S35,38.437070,21.962395,5.187988
2010-01-19H03M34S19,38.423798,21.941107,10.131836
2010-01-22H16M05S70,38.427414,21.982374,9.582520
2010-01-19H03M45S55,38.452719,21.982717,7.751465
2010-01-19H03M50S55,38.436736,21.905076,9.399414
2010-01-19H04M29S47,38.393822,22.026136,0.549316
2010-01-19H04M32S59,38.387688,22.003943,12.268066
2010-01-19H04M40S43,38.407184,21.941896,9.704590
2010-01-19H04M51S17,38.433940,21.958331,5.065918
2010-01-19H05M10S38,38.416224,21.996296,6.408691
2010-01-19H05M31S39,38.411428,22.002261,10.070801
2010-01-19H05M33S15,38.428196,21.983390,8.544922
2010-01-19H05M53S60,38.371698,22.023814,10.681152
2010-01-19H05M55S70,38.373192,22.033881,11.901855
2010-01-19H06M00S40,38.433841,21.970396,8.972168
2010-01-19H06M12S20,38.423298,22.001420,11.596680
2010-01-19H06M40S50,38.422430,22.010455,11.169434
2010-01-19H06M52S34,38.416510,21.962122,10.314941
2010-01-19H07M01S60,38.412783,22.028414,15.563965
2010-01-19H07M01S47,38.414046,21.973147,9.155273
2010-01-19H07M08S53,38.438468,21.984535,7.263184
2010-01-19H07M11S33,38.406510,22.022295,12.268066
2010-01-19H07M22S33,38.412695,22.038465,13.366699
2010-01-19H07M31S54,38.383524,21.933551,13.488770
2010-01-19H07M42S50,38.392901,21.947740,2.624512
2010-01-19H08M07S18,38.358940,22.035687,10.803223
2010-01-19H08M16S57,38.420137,21.903864,17.517090
2010-01-19H08M34S50,38.410395,21.935907,6.408691
2010-01-19H08M38S48,38.420726,22.024506,11.657715
2010-01-19H08M40S42,38.429063,21.974353,9.582520
2010-01-19H09M00S11,38.419997,22.017458,11.840820
2010-01-19H09M35S39,38.407264,21.931846,8.605957
2010-01-19H10M04S10,38.410067,21.976109,8.850098
2010-01-19H10M10S60,38.421121,21.978268,0.061035
2010-01-19H10M12S17,38.408585,21.964027,6.530762
2010-01-19H11M35S51,38.406937,21.972046,15.441895
2010-01-19H12M01S41,38.381275,22.013902,11.779785
2010-01-19H12M47S14,38.212645,22.538816,6.164551
2010-01-19H13M09S18,38.406769,21.992146,5.432129
2010-01-19H13M15S44,38.393979,22.008050,13.977051
2010-01-19H13M18S22,38.395509,22.014100,12.145996
2010-01-19H13M49S28,38.397820,22.021167,11.596680
2010-01-19H14M55S32,38.402259,21.963943,5.676270
2010-01-19H15M48S22,38.419556,21.976236,6.286621
2010-01-19H16M25S37,38.410379,21.937917,11.779785
2010-01-19H16M37S52,38.398197,21.976954,8.422852
2010-01-19H17M08S57,38.410459,21.927867,5.798340
2010-01-19H17M30S16,38.428462,21.951221,6.591797
2010-01-19H18M05S46,38.421672,21.909915,8.483887
2010-01-19H19M17S24,38.400792,21.949854,5.310059
2010-01-19H19M27S56,38.403939,21.951905,6.164551
2010-01-19H20M28S60,38.406718,21.998176,7.751465
2010-01-19H21M12S31,38.429309,21.944195,9.094238
2010-01-19H21M24S51,38.407135,21.947926,2.258301
2010-01-19H21M45S25,38.290688,22.146103,8.300781
2010-01-19H21M51S47,38.289127,22.144072,8.422852
2010-01-19H22M42S39,38.424467,21.956196,7.751465
